id	hate_type	hate_severity	to_whom	model
12764	Abusive	Mild	Society	xlm-roberta-base
202933	None	Little to None	None	xlm-roberta-base
165894	Abusive	Little to None	None	xlm-roberta-base
124999	Profane	Severe	Community	xlm-roberta-base
535301	Religious Hate	Severe	Community	xlm-roberta-base
432948	Profane	Severe	Individual	xlm-roberta-base
34737	None	Little to None	None	xlm-roberta-base
377091	Profane	Severe	Society	xlm-roberta-base
840467	None	Little to None	None	xlm-roberta-base
361701	None	Little to None	None	xlm-roberta-base
184161	None	Little to None	None	xlm-roberta-base
531785	None	Little to None	None	xlm-roberta-base
402930	None	Little to None	None	xlm-roberta-base
578332	Political Hate	Mild	Organization	xlm-roberta-base
723077	Abusive	Severe	Society	xlm-roberta-base
776755	Religious Hate	Severe	Society	xlm-roberta-base
587800	Profane	Severe	Individual	xlm-roberta-base
869387	None	Little to None	None	xlm-roberta-base
620490	Political Hate	Mild	Organization	xlm-roberta-base
241030	Abusive	Mild	Organization	xlm-roberta-base
764029	Religious Hate	Mild	Community	xlm-roberta-base
174711	None	Little to None	None	xlm-roberta-base
65995	Political Hate	Severe	Individual	xlm-roberta-base
871343	None	Little to None	None	xlm-roberta-base
715822	None	Little to None	None	xlm-roberta-base
106487	None	Little to None	None	xlm-roberta-base
764737	None	Little to None	None	xlm-roberta-base
917460	Abusive	Little to None	None	xlm-roberta-base
531356	Abusive	Little to None	None	xlm-roberta-base
266651	Political Hate	Little to None	Organization	xlm-roberta-base
739854	None	Little to None	None	xlm-roberta-base
266764	None	Little to None	None	xlm-roberta-base
73332	None	Little to None	None	xlm-roberta-base
760242	Abusive	Mild	Individual	xlm-roberta-base
320758	None	Little to None	None	xlm-roberta-base
609567	Abusive	Little to None	None	xlm-roberta-base
16555	Abusive	Mild	Society	xlm-roberta-base
404893	Abusive	Mild	Organization	xlm-roberta-base
357862	None	Little to None	None	xlm-roberta-base
624326	None	Little to None	None	xlm-roberta-base
364169	Profane	Severe	Community	xlm-roberta-base
631673	None	Little to None	None	xlm-roberta-base
105543	Profane	Severe	Individual	xlm-roberta-base
699006	None	Little to None	None	xlm-roberta-base
701268	None	Little to None	None	xlm-roberta-base
742298	Abusive	Mild	Individual	xlm-roberta-base
643737	Political Hate	Severe	Organization	xlm-roberta-base
689092	None	Little to None	None	xlm-roberta-base
563553	None	Little to None	None	xlm-roberta-base
662932	None	Little to None	None	xlm-roberta-base
473263	Profane	Severe	Community	xlm-roberta-base
422168	None	Little to None	None	xlm-roberta-base
862941	None	Little to None	None	xlm-roberta-base
342937	Profane	Severe	Organization	xlm-roberta-base
178372	Profane	Severe	Community	xlm-roberta-base
916768	None	Little to None	None	xlm-roberta-base
215239	Political Hate	Little to None	Organization	xlm-roberta-base
763206	None	Little to None	Individual	xlm-roberta-base
666182	None	Little to None	None	xlm-roberta-base
503048	Political Hate	Severe	Organization	xlm-roberta-base
519953	Abusive	Mild	Individual	xlm-roberta-base
679666	None	Little to None	None	xlm-roberta-base
237037	None	Little to None	None	xlm-roberta-base
561654	Abusive	Little to None	None	xlm-roberta-base
335959	None	Little to None	None	xlm-roberta-base
672138	None	Little to None	None	xlm-roberta-base
705318	None	Little to None	None	xlm-roberta-base
251010	Political Hate	Little to None	None	xlm-roberta-base
50757	None	Little to None	None	xlm-roberta-base
708711	Profane	Severe	Society	xlm-roberta-base
379033	Abusive	Little to None	Individual	xlm-roberta-base
356889	None	Little to None	None	xlm-roberta-base
380864	Abusive	Mild	Society	xlm-roberta-base
357388	None	Little to None	None	xlm-roberta-base
237264	None	Little to None	None	xlm-roberta-base
785645	Abusive	Little to None	Individual	xlm-roberta-base
10221	Abusive	Mild	Organization	xlm-roberta-base
51427	None	Little to None	None	xlm-roberta-base
327009	None	Little to None	None	xlm-roberta-base
72638	None	Little to None	None	xlm-roberta-base
