id	label	model
12764	Abusive	microsoft/mdeberta-v3-base
202933	None	microsoft/mdeberta-v3-base
165894	Abusive	microsoft/mdeberta-v3-base
124999	Profane	microsoft/mdeberta-v3-base
535301	Religious Hate	microsoft/mdeberta-v3-base
432948	Profane	microsoft/mdeberta-v3-base
34737	None	microsoft/mdeberta-v3-base
377091	Profane	microsoft/mdeberta-v3-base
840467	None	microsoft/mdeberta-v3-base
361701	None	microsoft/mdeberta-v3-base
184161	Abusive	microsoft/mdeberta-v3-base
531785	None	microsoft/mdeberta-v3-base
402930	None	microsoft/mdeberta-v3-base
578332	Political Hate	microsoft/mdeberta-v3-base
723077	Religious Hate	microsoft/mdeberta-v3-base
776755	None	microsoft/mdeberta-v3-base
587800	Profane	microsoft/mdeberta-v3-base
869387	None	microsoft/mdeberta-v3-base
620490	Political Hate	microsoft/mdeberta-v3-base
241030	Abusive	microsoft/mdeberta-v3-base
764029	Religious Hate	microsoft/mdeberta-v3-base
174711	None	microsoft/mdeberta-v3-base
65995	Political Hate	microsoft/mdeberta-v3-base
871343	None	microsoft/mdeberta-v3-base
715822	None	microsoft/mdeberta-v3-base
106487	None	microsoft/mdeberta-v3-base
764737	None	microsoft/mdeberta-v3-base
917460	None	microsoft/mdeberta-v3-base
531356	None	microsoft/mdeberta-v3-base
266651	Political Hate	microsoft/mdeberta-v3-base
739854	None	microsoft/mdeberta-v3-base
266764	None	microsoft/mdeberta-v3-base
73332	None	microsoft/mdeberta-v3-base
760242	None	microsoft/mdeberta-v3-base
320758	None	microsoft/mdeberta-v3-base
609567	Abusive	microsoft/mdeberta-v3-base
16555	Abusive	microsoft/mdeberta-v3-base
404893	Abusive	microsoft/mdeberta-v3-base
357862	None	microsoft/mdeberta-v3-base
624326	None	microsoft/mdeberta-v3-base
364169	Profane	microsoft/mdeberta-v3-base
631673	None	microsoft/mdeberta-v3-base
105543	Profane	microsoft/mdeberta-v3-base
699006	None	microsoft/mdeberta-v3-base
701268	None	microsoft/mdeberta-v3-base
742298	None	microsoft/mdeberta-v3-base
643737	Political Hate	microsoft/mdeberta-v3-base
689092	None	microsoft/mdeberta-v3-base
563553	None	microsoft/mdeberta-v3-base
662932	None	microsoft/mdeberta-v3-base
473263	Profane	microsoft/mdeberta-v3-base
422168	None	microsoft/mdeberta-v3-base
862941	None	microsoft/mdeberta-v3-base
342937	Profane	microsoft/mdeberta-v3-base
178372	Profane	microsoft/mdeberta-v3-base
916768	None	microsoft/mdeberta-v3-base
215239	Abusive	microsoft/mdeberta-v3-base
763206	None	microsoft/mdeberta-v3-base
666182	None	microsoft/mdeberta-v3-base
503048	Political Hate	microsoft/mdeberta-v3-base
519953	Abusive	microsoft/mdeberta-v3-base
679666	None	microsoft/mdeberta-v3-base
237037	Abusive	microsoft/mdeberta-v3-base
561654	None	microsoft/mdeberta-v3-base
335959	None	microsoft/mdeberta-v3-base
672138	None	microsoft/mdeberta-v3-base
705318	None	microsoft/mdeberta-v3-base
251010	None	microsoft/mdeberta-v3-base
50757	Abusive	microsoft/mdeberta-v3-base
708711	Profane	microsoft/mdeberta-v3-base
379033	None	microsoft/mdeberta-v3-base
356889	None	microsoft/mdeberta-v3-base
380864	Abusive	microsoft/mdeberta-v3-base
357388	None	microsoft/mdeberta-v3-base
237264	None	microsoft/mdeberta-v3-base
785645	None	microsoft/mdeberta-v3-base
10221	Religious Hate	microsoft/mdeberta-v3-base
51427	None	microsoft/mdeberta-v3-base
327009	None	microsoft/mdeberta-v3-base
72638	None	microsoft/mdeberta-v3-base
454694	Abusive	microsoft/mdeberta-v3-base
531585	None	microsoft/mdeberta-v3-base
905729	None	microsoft/mdeberta-v3-base
826344	None	microsoft/mdeberta-v3-base
622615	Political Hate	microsoft/mdeberta-v3-base
341026	Abusive	microsoft/mdeberta-v3-base
756812	None	microsoft/mdeberta-v3-base
446998	None	microsoft/mdeberta-v3-base
507755	Abusive	microsoft/mdeberta-v3-base
252185	None	microsoft/mdeberta-v3-base
677872	Political Hate	microsoft/mdeberta-v3-base
573406	None	microsoft/mdeberta-v3-base
708512	Abusive	microsoft/mdeberta-v3-base
35865	Political Hate	microsoft/mdeberta-v3-base
521314	None	microsoft/mdeberta-v3-base
629720	None	microsoft/mdeberta-v3-base
579590	None	microsoft/mdeberta-v3-base
420676	Political Hate	microsoft/mdeberta-v3-base
888468	Profane	microsoft/mdeberta-v3-base
507098	None	microsoft/mdeberta-v3-base
33791	None	microsoft/mdeberta-v3-base
628771	None	microsoft/mdeberta-v3-base
197579	Political Hate	microsoft/mdeberta-v3-base
228413	None	microsoft/mdeberta-v3-base
607208	None	microsoft/mdeberta-v3-base
482851	Abusive	microsoft/mdeberta-v3-base
641065	None	microsoft/mdeberta-v3-base
154089	None	microsoft/mdeberta-v3-base
21246	None	microsoft/mdeberta-v3-base
99970	None	microsoft/mdeberta-v3-base
243706	Abusive	microsoft/mdeberta-v3-base
366232	None	microsoft/mdeberta-v3-base
799431	Abusive	microsoft/mdeberta-v3-base
151836	Profane	microsoft/mdeberta-v3-base
384383	None	microsoft/mdeberta-v3-base
430350	Profane	microsoft/mdeberta-v3-base
321512	None	microsoft/mdeberta-v3-base
791877	Political Hate	microsoft/mdeberta-v3-base
369126	Abusive	microsoft/mdeberta-v3-base
769210	None	microsoft/mdeberta-v3-base
389866	None	microsoft/mdeberta-v3-base
124392	Abusive	microsoft/mdeberta-v3-base
111565	Abusive	microsoft/mdeberta-v3-base
87928	Political Hate	microsoft/mdeberta-v3-base
507897	Abusive	microsoft/mdeberta-v3-base
284276	Abusive	microsoft/mdeberta-v3-base
211557	Political Hate	microsoft/mdeberta-v3-base
407528	Abusive	microsoft/mdeberta-v3-base
656024	None	microsoft/mdeberta-v3-base
163256	Abusive	microsoft/mdeberta-v3-base
701482	None	microsoft/mdeberta-v3-base
28613	None	microsoft/mdeberta-v3-base
393451	None	microsoft/mdeberta-v3-base
130986	None	microsoft/mdeberta-v3-base
47847	Abusive	microsoft/mdeberta-v3-base
474831	Religious Hate	microsoft/mdeberta-v3-base
262358	Abusive	microsoft/mdeberta-v3-base
809182	None	microsoft/mdeberta-v3-base
912597	None	microsoft/mdeberta-v3-base
491193	None	microsoft/mdeberta-v3-base
605569	Abusive	microsoft/mdeberta-v3-base
380424	None	microsoft/mdeberta-v3-base
603456	Abusive	microsoft/mdeberta-v3-base
107100	Political Hate	microsoft/mdeberta-v3-base
626831	None	microsoft/mdeberta-v3-base
447213	None	microsoft/mdeberta-v3-base
697862	None	microsoft/mdeberta-v3-base
91497	Abusive	microsoft/mdeberta-v3-base
652526	None	microsoft/mdeberta-v3-base
24792	None	microsoft/mdeberta-v3-base
571083	Abusive	microsoft/mdeberta-v3-base
890268	Abusive	microsoft/mdeberta-v3-base
5297	Abusive	microsoft/mdeberta-v3-base
920594	Profane	microsoft/mdeberta-v3-base
172944	Political Hate	microsoft/mdeberta-v3-base
624079	None	microsoft/mdeberta-v3-base
770329	None	microsoft/mdeberta-v3-base
692607	Abusive	microsoft/mdeberta-v3-base
3052	Political Hate	microsoft/mdeberta-v3-base
844455	Abusive	microsoft/mdeberta-v3-base
814896	Profane	microsoft/mdeberta-v3-base
110591	None	microsoft/mdeberta-v3-base
180575	Political Hate	microsoft/mdeberta-v3-base
254322	Abusive	microsoft/mdeberta-v3-base
574720	None	microsoft/mdeberta-v3-base
622377	None	microsoft/mdeberta-v3-base
623083	Political Hate	microsoft/mdeberta-v3-base
668718	Abusive	microsoft/mdeberta-v3-base
633172	None	microsoft/mdeberta-v3-base
6790	None	microsoft/mdeberta-v3-base
850984	Political Hate	microsoft/mdeberta-v3-base
500524	Political Hate	microsoft/mdeberta-v3-base
581344	None	microsoft/mdeberta-v3-base
654769	None	microsoft/mdeberta-v3-base
706547	None	microsoft/mdeberta-v3-base
603782	None	microsoft/mdeberta-v3-base
302171	None	microsoft/mdeberta-v3-base
744717	None	microsoft/mdeberta-v3-base
512972	None	microsoft/mdeberta-v3-base
781353	Political Hate	microsoft/mdeberta-v3-base
384814	None	microsoft/mdeberta-v3-base
15032	None	microsoft/mdeberta-v3-base
251425	Abusive	microsoft/mdeberta-v3-base
813466	None	microsoft/mdeberta-v3-base
675844	Abusive	microsoft/mdeberta-v3-base
2583	Abusive	microsoft/mdeberta-v3-base
659227	Abusive	microsoft/mdeberta-v3-base
169886	None	microsoft/mdeberta-v3-base
381979	Abusive	microsoft/mdeberta-v3-base
299641	Abusive	microsoft/mdeberta-v3-base
704171	None	microsoft/mdeberta-v3-base
618279	Abusive	microsoft/mdeberta-v3-base
641060	None	microsoft/mdeberta-v3-base
562096	None	microsoft/mdeberta-v3-base
318122	Profane	microsoft/mdeberta-v3-base
451639	None	microsoft/mdeberta-v3-base
653504	None	microsoft/mdeberta-v3-base
144836	Abusive	microsoft/mdeberta-v3-base
426811	Abusive	microsoft/mdeberta-v3-base
399359	None	microsoft/mdeberta-v3-base
610564	Political Hate	microsoft/mdeberta-v3-base
246780	None	microsoft/mdeberta-v3-base
838887	None	microsoft/mdeberta-v3-base
144994	None	microsoft/mdeberta-v3-base
854277	None	microsoft/mdeberta-v3-base
865313	None	microsoft/mdeberta-v3-base
578428	None	microsoft/mdeberta-v3-base
187917	None	microsoft/mdeberta-v3-base
348388	Political Hate	microsoft/mdeberta-v3-base
741123	Religious Hate	microsoft/mdeberta-v3-base
634544	None	microsoft/mdeberta-v3-base
778366	Abusive	microsoft/mdeberta-v3-base
441000	None	microsoft/mdeberta-v3-base
377994	None	microsoft/mdeberta-v3-base
362805	Religious Hate	microsoft/mdeberta-v3-base
12475	None	microsoft/mdeberta-v3-base
460383	Abusive	microsoft/mdeberta-v3-base
870913	Abusive	microsoft/mdeberta-v3-base
2715	None	microsoft/mdeberta-v3-base
921356	Abusive	microsoft/mdeberta-v3-base
196647	Political Hate	microsoft/mdeberta-v3-base
824151	None	microsoft/mdeberta-v3-base
382540	Abusive	microsoft/mdeberta-v3-base
1087	None	microsoft/mdeberta-v3-base
380610	Abusive	microsoft/mdeberta-v3-base
416517	None	microsoft/mdeberta-v3-base
456028	Profane	microsoft/mdeberta-v3-base
431471	Abusive	microsoft/mdeberta-v3-base
453235	Political Hate	microsoft/mdeberta-v3-base
927587	None	microsoft/mdeberta-v3-base
422259	None	microsoft/mdeberta-v3-base
896697	None	microsoft/mdeberta-v3-base
42562	None	microsoft/mdeberta-v3-base
197313	Political Hate	microsoft/mdeberta-v3-base
690302	Abusive	microsoft/mdeberta-v3-base
925174	None	microsoft/mdeberta-v3-base
535584	Abusive	microsoft/mdeberta-v3-base
931365	Abusive	microsoft/mdeberta-v3-base
227393	Abusive	microsoft/mdeberta-v3-base
329379	None	microsoft/mdeberta-v3-base
56445	None	microsoft/mdeberta-v3-base
546158	Political Hate	microsoft/mdeberta-v3-base
258725	None	microsoft/mdeberta-v3-base
175825	None	microsoft/mdeberta-v3-base
937532	None	microsoft/mdeberta-v3-base
833099	None	microsoft/mdeberta-v3-base
321436	None	microsoft/mdeberta-v3-base
755018	None	microsoft/mdeberta-v3-base
798262	Political Hate	microsoft/mdeberta-v3-base
866278	None	microsoft/mdeberta-v3-base
210321	Political Hate	microsoft/mdeberta-v3-base
363164	None	microsoft/mdeberta-v3-base
370542	Political Hate	microsoft/mdeberta-v3-base
132703	None	microsoft/mdeberta-v3-base
601946	Abusive	microsoft/mdeberta-v3-base
897150	None	microsoft/mdeberta-v3-base
256376	None	microsoft/mdeberta-v3-base
240015	None	microsoft/mdeberta-v3-base
259547	Abusive	microsoft/mdeberta-v3-base
67131	Religious Hate	microsoft/mdeberta-v3-base
923885	Abusive	microsoft/mdeberta-v3-base
226135	None	microsoft/mdeberta-v3-base
662300	None	microsoft/mdeberta-v3-base
677456	Political Hate	microsoft/mdeberta-v3-base
485008	Abusive	microsoft/mdeberta-v3-base
529942	Profane	microsoft/mdeberta-v3-base
914346	None	microsoft/mdeberta-v3-base
298173	Political Hate	microsoft/mdeberta-v3-base
446809	None	microsoft/mdeberta-v3-base
671424	Abusive	microsoft/mdeberta-v3-base
793955	Political Hate	microsoft/mdeberta-v3-base
157776	Abusive	microsoft/mdeberta-v3-base
283469	None	microsoft/mdeberta-v3-base
206317	Abusive	microsoft/mdeberta-v3-base
33066	None	microsoft/mdeberta-v3-base
36214	Political Hate	microsoft/mdeberta-v3-base
683112	None	microsoft/mdeberta-v3-base
831416	Political Hate	microsoft/mdeberta-v3-base
473865	None	microsoft/mdeberta-v3-base
783655	Political Hate	microsoft/mdeberta-v3-base
344565	None	microsoft/mdeberta-v3-base
240377	None	microsoft/mdeberta-v3-base
205517	None	microsoft/mdeberta-v3-base
624990	None	microsoft/mdeberta-v3-base
114646	Profane	microsoft/mdeberta-v3-base
860260	Political Hate	microsoft/mdeberta-v3-base
321233	None	microsoft/mdeberta-v3-base
287639	Political Hate	microsoft/mdeberta-v3-base
698525	Abusive	microsoft/mdeberta-v3-base
640865	None	microsoft/mdeberta-v3-base
493551	None	microsoft/mdeberta-v3-base
329369	None	microsoft/mdeberta-v3-base
687000	Profane	microsoft/mdeberta-v3-base
938515	None	microsoft/mdeberta-v3-base
71327	Abusive	microsoft/mdeberta-v3-base
82872	Abusive	microsoft/mdeberta-v3-base
564549	None	microsoft/mdeberta-v3-base
93050	Abusive	microsoft/mdeberta-v3-base
684599	None	microsoft/mdeberta-v3-base
923214	None	microsoft/mdeberta-v3-base
712666	None	microsoft/mdeberta-v3-base
516447	None	microsoft/mdeberta-v3-base
789503	None	microsoft/mdeberta-v3-base
126197	Profane	microsoft/mdeberta-v3-base
83510	Abusive	microsoft/mdeberta-v3-base
693378	None	microsoft/mdeberta-v3-base
766830	Abusive	microsoft/mdeberta-v3-base
917369	Abusive	microsoft/mdeberta-v3-base
140689	Profane	microsoft/mdeberta-v3-base
828319	None	microsoft/mdeberta-v3-base
441784	Political Hate	microsoft/mdeberta-v3-base
584069	None	microsoft/mdeberta-v3-base
595722	None	microsoft/mdeberta-v3-base
587975	Political Hate	microsoft/mdeberta-v3-base
737847	Political Hate	microsoft/mdeberta-v3-base
355260	None	microsoft/mdeberta-v3-base
208807	None	microsoft/mdeberta-v3-base
698527	None	microsoft/mdeberta-v3-base
342704	None	microsoft/mdeberta-v3-base
281083	None	microsoft/mdeberta-v3-base
594110	Abusive	microsoft/mdeberta-v3-base
