id	hate_type	hate_severity	to_whom	model
12764	None	Little to None	None	microsoft/mdeberta-v3-base
202933	None	Little to None	None	microsoft/mdeberta-v3-base
165894	None	Little to None	None	microsoft/mdeberta-v3-base
124999	Profane	Severe	Community	microsoft/mdeberta-v3-base
535301	Religious Hate	Severe	Individual	microsoft/mdeberta-v3-base
432948	Profane	Severe	Individual	microsoft/mdeberta-v3-base
34737	None	Little to None	None	microsoft/mdeberta-v3-base
377091	Profane	Severe	Individual	microsoft/mdeberta-v3-base
840467	None	Little to None	None	microsoft/mdeberta-v3-base
361701	None	Little to None	None	microsoft/mdeberta-v3-base
184161	None	Little to None	None	microsoft/mdeberta-v3-base
531785	None	Little to None	None	microsoft/mdeberta-v3-base
402930	None	Little to None	None	microsoft/mdeberta-v3-base
578332	Political Hate	Mild	Organization	microsoft/mdeberta-v3-base
723077	None	Little to None	None	microsoft/mdeberta-v3-base
776755	Abusive	Mild	Society	microsoft/mdeberta-v3-base
587800	Profane	Severe	Individual	microsoft/mdeberta-v3-base
869387	None	Little to None	None	microsoft/mdeberta-v3-base
620490	Political Hate	Mild	Organization	microsoft/mdeberta-v3-base
241030	Abusive	Mild	Organization	microsoft/mdeberta-v3-base
764029	Religious Hate	Severe	Community	microsoft/mdeberta-v3-base
174711	None	Little to None	None	microsoft/mdeberta-v3-base
65995	Political Hate	Severe	Individual	microsoft/mdeberta-v3-base
871343	None	Little to None	None	microsoft/mdeberta-v3-base
715822	None	Little to None	None	microsoft/mdeberta-v3-base
106487	None	Little to None	None	microsoft/mdeberta-v3-base
764737	None	Little to None	None	microsoft/mdeberta-v3-base
917460	None	Little to None	None	microsoft/mdeberta-v3-base
531356	None	Little to None	None	microsoft/mdeberta-v3-base
266651	Political Hate	Little to None	Organization	microsoft/mdeberta-v3-base
739854	None	Little to None	None	microsoft/mdeberta-v3-base
266764	None	Little to None	None	microsoft/mdeberta-v3-base
73332	None	Little to None	None	microsoft/mdeberta-v3-base
760242	None	Little to None	None	microsoft/mdeberta-v3-base
320758	None	Little to None	None	microsoft/mdeberta-v3-base
609567	None	Little to None	None	microsoft/mdeberta-v3-base
16555	Abusive	Mild	Society	microsoft/mdeberta-v3-base
404893	Abusive	Mild	Organization	microsoft/mdeberta-v3-base
357862	None	Little to None	None	microsoft/mdeberta-v3-base
624326	None	Little to None	None	microsoft/mdeberta-v3-base
364169	Profane	Severe	Community	microsoft/mdeberta-v3-base
631673	None	Little to None	None	microsoft/mdeberta-v3-base
105543	Profane	Severe	Individual	microsoft/mdeberta-v3-base
