id	label	model
12764	Society	microsoft/mdeberta-v3-base
202933	None	microsoft/mdeberta-v3-base
165894	Community	microsoft/mdeberta-v3-base
124999	Community	microsoft/mdeberta-v3-base
535301	Individual	microsoft/mdeberta-v3-base
432948	Individual	microsoft/mdeberta-v3-base
34737	None	microsoft/mdeberta-v3-base
377091	Community	microsoft/mdeberta-v3-base
840467	None	microsoft/mdeberta-v3-base
361701	None	microsoft/mdeberta-v3-base
184161	Community	microsoft/mdeberta-v3-base
531785	None	microsoft/mdeberta-v3-base
402930	None	microsoft/mdeberta-v3-base
578332	Organization	microsoft/mdeberta-v3-base
723077	Individual	microsoft/mdeberta-v3-base
776755	Society	microsoft/mdeberta-v3-base
587800	Individual	microsoft/mdeberta-v3-base
869387	None	microsoft/mdeberta-v3-base
620490	Organization	microsoft/mdeberta-v3-base
241030	Organization	microsoft/mdeberta-v3-base
764029	Community	microsoft/mdeberta-v3-base
174711	None	microsoft/mdeberta-v3-base
65995	Individual	microsoft/mdeberta-v3-base
871343	None	microsoft/mdeberta-v3-base
715822	None	microsoft/mdeberta-v3-base
106487	None	microsoft/mdeberta-v3-base
764737	None	microsoft/mdeberta-v3-base
917460	None	microsoft/mdeberta-v3-base
531356	None	microsoft/mdeberta-v3-base
266651	Organization	microsoft/mdeberta-v3-base
739854	None	microsoft/mdeberta-v3-base
266764	None	microsoft/mdeberta-v3-base
73332	None	microsoft/mdeberta-v3-base
760242	None	microsoft/mdeberta-v3-base
320758	None	microsoft/mdeberta-v3-base
609567	None	microsoft/mdeberta-v3-base
16555	Society	microsoft/mdeberta-v3-base
404893	Organization	microsoft/mdeberta-v3-base
357862	None	microsoft/mdeberta-v3-base
624326	None	microsoft/mdeberta-v3-base
364169	Community	microsoft/mdeberta-v3-base
631673	None	microsoft/mdeberta-v3-base
105543	Individual	microsoft/mdeberta-v3-base
699006	None	microsoft/mdeberta-v3-base
701268	None	microsoft/mdeberta-v3-base
742298	None	microsoft/mdeberta-v3-base
643737	Organization	microsoft/mdeberta-v3-base
689092	None	microsoft/mdeberta-v3-base
563553	None	microsoft/mdeberta-v3-base
662932	None	microsoft/mdeberta-v3-base
473263	Community	microsoft/mdeberta-v3-base
422168	None	microsoft/mdeberta-v3-base
862941	None	microsoft/mdeberta-v3-base
342937	Organization	microsoft/mdeberta-v3-base
178372	Individual	microsoft/mdeberta-v3-base
916768	None	microsoft/mdeberta-v3-base
215239	Community	microsoft/mdeberta-v3-base
763206	None	microsoft/mdeberta-v3-base
666182	None	microsoft/mdeberta-v3-base
503048	Organization	microsoft/mdeberta-v3-base
519953	Individual	microsoft/mdeberta-v3-base
679666	None	microsoft/mdeberta-v3-base
237037	None	microsoft/mdeberta-v3-base
561654	None	microsoft/mdeberta-v3-base
335959	None	microsoft/mdeberta-v3-base
672138	None	microsoft/mdeberta-v3-base
705318	None	microsoft/mdeberta-v3-base
251010	Individual	microsoft/mdeberta-v3-base
50757	Society	microsoft/mdeberta-v3-base
708711	Society	microsoft/mdeberta-v3-base
379033	None	microsoft/mdeberta-v3-base
356889	None	microsoft/mdeberta-v3-base
380864	None	microsoft/mdeberta-v3-base
357388	None	microsoft/mdeberta-v3-base
237264	None	microsoft/mdeberta-v3-base
785645	Individual	microsoft/mdeberta-v3-base
10221	Organization	microsoft/mdeberta-v3-base
51427	None	microsoft/mdeberta-v3-base
327009	None	microsoft/mdeberta-v3-base
72638	None	microsoft/mdeberta-v3-base
454694	Community	microsoft/mdeberta-v3-base
