id	label	model
12764	Abusive	xlm_large+mdeb-v3+murili_base
202933	None	xlm_large+mdeb-v3+murili_base
165894	Abusive	xlm_large+mdeb-v3+murili_base
124999	Profane	xlm_large+mdeb-v3+murili_base
535301	Religious Hate	xlm_large+mdeb-v3+murili_base
432948	Profane	xlm_large+mdeb-v3+murili_base
34737	None	xlm_large+mdeb-v3+murili_base
377091	Profane	xlm_large+mdeb-v3+murili_base
840467	None	xlm_large+mdeb-v3+murili_base
361701	None	xlm_large+mdeb-v3+murili_base
184161	Abusive	xlm_large+mdeb-v3+murili_base
531785	None	xlm_large+mdeb-v3+murili_base
402930	None	xlm_large+mdeb-v3+murili_base
578332	Political Hate	xlm_large+mdeb-v3+murili_base
723077	Abusive	xlm_large+mdeb-v3+murili_base
776755	Religious Hate	xlm_large+mdeb-v3+murili_base
587800	Profane	xlm_large+mdeb-v3+murili_base
869387	None	xlm_large+mdeb-v3+murili_base
620490	Political Hate	xlm_large+mdeb-v3+murili_base
241030	Abusive	xlm_large+mdeb-v3+murili_base
764029	Religious Hate	xlm_large+mdeb-v3+murili_base
174711	None	xlm_large+mdeb-v3+murili_base
65995	Political Hate	xlm_large+mdeb-v3+murili_base
871343	None	xlm_large+mdeb-v3+murili_base
715822	None	xlm_large+mdeb-v3+murili_base
106487	None	xlm_large+mdeb-v3+murili_base
764737	None	xlm_large+mdeb-v3+murili_base
917460	Abusive	xlm_large+mdeb-v3+murili_base
531356	None	xlm_large+mdeb-v3+murili_base
266651	Political Hate	xlm_large+mdeb-v3+murili_base
739854	None	xlm_large+mdeb-v3+murili_base
266764	None	xlm_large+mdeb-v3+murili_base
73332	None	xlm_large+mdeb-v3+murili_base
760242	None	xlm_large+mdeb-v3+murili_base
320758	None	xlm_large+mdeb-v3+murili_base
609567	Abusive	xlm_large+mdeb-v3+murili_base
16555	Abusive	xlm_large+mdeb-v3+murili_base
404893	Abusive	xlm_large+mdeb-v3+murili_base
357862	None	xlm_large+mdeb-v3+murili_base
624326	None	xlm_large+mdeb-v3+murili_base
364169	Profane	xlm_large+mdeb-v3+murili_base
631673	None	xlm_large+mdeb-v3+murili_base
105543	Profane	xlm_large+mdeb-v3+murili_base
699006	None	xlm_large+mdeb-v3+murili_base
701268	None	xlm_large+mdeb-v3+murili_base
742298	None	xlm_large+mdeb-v3+murili_base
643737	Abusive	xlm_large+mdeb-v3+murili_base
689092	None	xlm_large+mdeb-v3+murili_base
563553	None	xlm_large+mdeb-v3+murili_base
662932	None	xlm_large+mdeb-v3+murili_base
473263	Profane	xlm_large+mdeb-v3+murili_base
422168	None	xlm_large+mdeb-v3+murili_base
862941	None	xlm_large+mdeb-v3+murili_base
342937	Profane	xlm_large+mdeb-v3+murili_base
178372	Profane	xlm_large+mdeb-v3+murili_base
916768	None	xlm_large+mdeb-v3+murili_base
215239	Political Hate	xlm_large+mdeb-v3+murili_base
763206	None	xlm_large+mdeb-v3+murili_base
666182	None	xlm_large+mdeb-v3+murili_base
503048	Political Hate	xlm_large+mdeb-v3+murili_base
519953	Abusive	xlm_large+mdeb-v3+murili_base
679666	None	xlm_large+mdeb-v3+murili_base
237037	None	xlm_large+mdeb-v3+murili_base
561654	None	xlm_large+mdeb-v3+murili_base
335959	None	xlm_large+mdeb-v3+murili_base
672138	None	xlm_large+mdeb-v3+murili_base
705318	None	xlm_large+mdeb-v3+murili_base
251010	None	xlm_large+mdeb-v3+murili_base
50757	Abusive	xlm_large+mdeb-v3+murili_base
708711	Profane	xlm_large+mdeb-v3+murili_base
379033	None	xlm_large+mdeb-v3+murili_base
356889	None	xlm_large+mdeb-v3+murili_base
380864	Abusive	xlm_large+mdeb-v3+murili_base
357388	None	xlm_large+mdeb-v3+murili_base
237264	None	xlm_large+mdeb-v3+murili_base
785645	Abusive	xlm_large+mdeb-v3+murili_base
10221	Religious Hate	xlm_large+mdeb-v3+murili_base
51427	None	xlm_large+mdeb-v3+murili_base
327009	None	xlm_large+mdeb-v3+murili_base
72638	None	xlm_large+mdeb-v3+murili_base
454694	Abusive	xlm_large+mdeb-v3+murili_base
531585	None	xlm_large+mdeb-v3+murili_base
905729	None	xlm_large+mdeb-v3+murili_base
826344	None	xlm_large+mdeb-v3+murili_base
