id	label	model
12764	Society	ai4bharat/IndicBERTv2-MLM-only
202933	None	ai4bharat/IndicBERTv2-MLM-only
165894	Community	ai4bharat/IndicBERTv2-MLM-only
124999	Community	ai4bharat/IndicBERTv2-MLM-only
535301	Individual	ai4bharat/IndicBERTv2-MLM-only
432948	None	ai4bharat/IndicBERTv2-MLM-only
34737	None	ai4bharat/IndicBERTv2-MLM-only
377091	Community	ai4bharat/IndicBERTv2-MLM-only
840467	None	ai4bharat/IndicBERTv2-MLM-only
361701	None	ai4bharat/IndicBERTv2-MLM-only
184161	Individual	ai4bharat/IndicBERTv2-MLM-only
531785	None	ai4bharat/IndicBERTv2-MLM-only
402930	None	ai4bharat/IndicBERTv2-MLM-only
578332	Organization	ai4bharat/IndicBERTv2-MLM-only
723077	Individual	ai4bharat/IndicBERTv2-MLM-only
776755	Society	ai4bharat/IndicBERTv2-MLM-only
587800	Individual	ai4bharat/IndicBERTv2-MLM-only
869387	None	ai4bharat/IndicBERTv2-MLM-only
620490	Organization	ai4bharat/IndicBERTv2-MLM-only
241030	Organization	ai4bharat/IndicBERTv2-MLM-only
764029	Community	ai4bharat/IndicBERTv2-MLM-only
174711	None	ai4bharat/IndicBERTv2-MLM-only
65995	Individual	ai4bharat/IndicBERTv2-MLM-only
871343	None	ai4bharat/IndicBERTv2-MLM-only
715822	None	ai4bharat/IndicBERTv2-MLM-only
106487	None	ai4bharat/IndicBERTv2-MLM-only
764737	None	ai4bharat/IndicBERTv2-MLM-only
917460	Society	ai4bharat/IndicBERTv2-MLM-only
531356	Individual	ai4bharat/IndicBERTv2-MLM-only
266651	Organization	ai4bharat/IndicBERTv2-MLM-only
739854	None	ai4bharat/IndicBERTv2-MLM-only
266764	None	ai4bharat/IndicBERTv2-MLM-only
73332	None	ai4bharat/IndicBERTv2-MLM-only
760242	None	ai4bharat/IndicBERTv2-MLM-only
320758	None	ai4bharat/IndicBERTv2-MLM-only
609567	None	ai4bharat/IndicBERTv2-MLM-only
16555	Society	ai4bharat/IndicBERTv2-MLM-only
404893	Organization	ai4bharat/IndicBERTv2-MLM-only
357862	None	ai4bharat/IndicBERTv2-MLM-only
624326	None	ai4bharat/IndicBERTv2-MLM-only
364169	Society	ai4bharat/IndicBERTv2-MLM-only
631673	None	ai4bharat/IndicBERTv2-MLM-only
105543	None	ai4bharat/IndicBERTv2-MLM-only
699006	None	ai4bharat/IndicBERTv2-MLM-only
701268	None	ai4bharat/IndicBERTv2-MLM-only
742298	None	ai4bharat/IndicBERTv2-MLM-only
643737	Community	ai4bharat/IndicBERTv2-MLM-only
689092	None	ai4bharat/IndicBERTv2-MLM-only
563553	Society	ai4bharat/IndicBERTv2-MLM-only
662932	None	ai4bharat/IndicBERTv2-MLM-only
473263	Society	ai4bharat/IndicBERTv2-MLM-only
422168	None	ai4bharat/IndicBERTv2-MLM-only
862941	None	ai4bharat/IndicBERTv2-MLM-only
342937	Community	ai4bharat/IndicBERTv2-MLM-only
178372	Individual	ai4bharat/IndicBERTv2-MLM-only
916768	None	ai4bharat/IndicBERTv2-MLM-only
215239	Community	ai4bharat/IndicBERTv2-MLM-only
763206	Individual	ai4bharat/IndicBERTv2-MLM-only
666182	None	ai4bharat/IndicBERTv2-MLM-only
503048	Organization	ai4bharat/IndicBERTv2-MLM-only
519953	Individual	ai4bharat/IndicBERTv2-MLM-only
679666	None	ai4bharat/IndicBERTv2-MLM-only
237037	Individual	ai4bharat/IndicBERTv2-MLM-only
561654	None	ai4bharat/IndicBERTv2-MLM-only
335959	None	ai4bharat/IndicBERTv2-MLM-only
672138	None	ai4bharat/IndicBERTv2-MLM-only
705318	None	ai4bharat/IndicBERTv2-MLM-only
251010	None	ai4bharat/IndicBERTv2-MLM-only
50757	Organization	ai4bharat/IndicBERTv2-MLM-only
708711	Society	ai4bharat/IndicBERTv2-MLM-only
379033	Individual	ai4bharat/IndicBERTv2-MLM-only
356889	None	ai4bharat/IndicBERTv2-MLM-only
380864	Community	ai4bharat/IndicBERTv2-MLM-only
357388	None	ai4bharat/IndicBERTv2-MLM-only
237264	None	ai4bharat/IndicBERTv2-MLM-only
785645	Individual	ai4bharat/IndicBERTv2-MLM-only
10221	Organization	ai4bharat/IndicBERTv2-MLM-only
51427	None	ai4bharat/IndicBERTv2-MLM-only
327009	None	ai4bharat/IndicBERTv2-MLM-only
72638	None	ai4bharat/IndicBERTv2-MLM-only
454694	Community	ai4bharat/IndicBERTv2-MLM-only
531585	None	ai4bharat/IndicBERTv2-MLM-only
905729	None	ai4bharat/IndicBERTv2-MLM-only
826344	None	ai4bharat/IndicBERTv2-MLM-only
622615	Organization	ai4bharat/IndicBERTv2-MLM-only
