id	label	model
12764	Society	xlm-roberta-large
202933	None	xlm-roberta-large
165894	Community	xlm-roberta-large
124999	Community	xlm-roberta-large
535301	None	xlm-roberta-large
432948	Individual	xlm-roberta-large
34737	None	xlm-roberta-large
377091	Community	xlm-roberta-large
840467	None	xlm-roberta-large
361701	None	xlm-roberta-large
184161	Community	xlm-roberta-large
531785	Individual	xlm-roberta-large
402930	None	xlm-roberta-large
578332	Organization	xlm-roberta-large
723077	Society	xlm-roberta-large
776755	Society	xlm-roberta-large
587800	Individual	xlm-roberta-large
869387	None	xlm-roberta-large
620490	Organization	xlm-roberta-large
241030	Organization	xlm-roberta-large
764029	Community	xlm-roberta-large
174711	None	xlm-roberta-large
65995	Individual	xlm-roberta-large
871343	None	xlm-roberta-large
715822	None	xlm-roberta-large
106487	None	xlm-roberta-large
764737	None	xlm-roberta-large
917460	None	xlm-roberta-large
531356	None	xlm-roberta-large
266651	Organization	xlm-roberta-large
739854	None	xlm-roberta-large
266764	None	xlm-roberta-large
73332	None	xlm-roberta-large
760242	None	xlm-roberta-large
320758	None	xlm-roberta-large
609567	None	xlm-roberta-large
16555	Society	xlm-roberta-large
404893	Organization	xlm-roberta-large
357862	None	xlm-roberta-large
624326	None	xlm-roberta-large
364169	Community	xlm-roberta-large
631673	None	xlm-roberta-large
105543	Individual	xlm-roberta-large
699006	None	xlm-roberta-large
701268	None	xlm-roberta-large
742298	Individual	xlm-roberta-large
643737	Organization	xlm-roberta-large
689092	None	xlm-roberta-large
563553	None	xlm-roberta-large
662932	None	xlm-roberta-large
473263	Community	xlm-roberta-large
422168	None	xlm-roberta-large
862941	None	xlm-roberta-large
342937	Organization	xlm-roberta-large
178372	Community	xlm-roberta-large
916768	None	xlm-roberta-large
215239	Community	xlm-roberta-large
763206	Individual	xlm-roberta-large
666182	None	xlm-roberta-large
503048	Organization	xlm-roberta-large
519953	None	xlm-roberta-large
679666	None	xlm-roberta-large
237037	Individual	xlm-roberta-large
561654	Individual	xlm-roberta-large
335959	None	xlm-roberta-large
672138	None	xlm-roberta-large
705318	None	xlm-roberta-large
251010	Individual	xlm-roberta-large
50757	None	xlm-roberta-large
708711	Society	xlm-roberta-large
379033	None	xlm-roberta-large
356889	None	xlm-roberta-large
380864	Community	xlm-roberta-large
357388	None	xlm-roberta-large
237264	Individual	xlm-roberta-large
785645	Individual	xlm-roberta-large
10221	Organization	xlm-roberta-large
51427	None	xlm-roberta-large
327009	None	xlm-roberta-large
72638	None	xlm-roberta-large
454694	Community	xlm-roberta-large
531585	None	xlm-roberta-large
905729	None	xlm-roberta-large
826344	None	xlm-roberta-large
622615	Organization	xlm-roberta-large
341026	Society	xlm-roberta-large
756812	None	xlm-roberta-large
446998	None	xlm-roberta-large
507755	None	xlm-roberta-large
252185	None	xlm-roberta-large
677872	Individual	xlm-roberta-large
573406	None	xlm-roberta-large
708512	None	xlm-roberta-large
35865	Organization	xlm-roberta-large
521314	None	xlm-roberta-large
629720	None	xlm-roberta-large
579590	None	xlm-roberta-large
420676	Individual	xlm-roberta-large
888468	Individual	xlm-roberta-large
507098	None	xlm-roberta-large
33791	None	xlm-roberta-large
628771	None	xlm-roberta-large
197579	Organization	xlm-roberta-large
228413	None	xlm-roberta-large
607208	None	xlm-roberta-large
482851	Individual	xlm-roberta-large
641065	None	xlm-roberta-large
154089	None	xlm-roberta-large
21246	None	xlm-roberta-large
99970	None	xlm-roberta-large
243706	None	xlm-roberta-large
366232	None	xlm-roberta-large
799431	Community	xlm-roberta-large
151836	Individual	xlm-roberta-large
384383	None	xlm-roberta-large
430350	Individual	xlm-roberta-large
321512	None	xlm-roberta-large
791877	Organization	xlm-roberta-large
369126	Community	xlm-roberta-large
769210	None	xlm-roberta-large
389866	None	xlm-roberta-large
124392	None	xlm-roberta-large
111565	Community	xlm-roberta-large
87928	Organization	xlm-roberta-large
507897	Community	xlm-roberta-large
284276	None	xlm-roberta-large
211557	Organization	xlm-roberta-large
407528	Community	xlm-roberta-large
656024	None	xlm-roberta-large
163256	None	xlm-roberta-large
701482	None	xlm-roberta-large
28613	None	xlm-roberta-large
393451	None	xlm-roberta-large
130986	None	xlm-roberta-large
47847	None	xlm-roberta-large
474831	None	xlm-roberta-large
262358	Organization	xlm-roberta-large
809182	None	xlm-roberta-large
912597	None	xlm-roberta-large
491193	None	xlm-roberta-large
605569	Individual	xlm-roberta-large
380424	None	xlm-roberta-large
603456	Individual	xlm-roberta-large
107100	Organization	xlm-roberta-large
626831	None	xlm-roberta-large
447213	None	xlm-roberta-large
697862	None	xlm-roberta-large
91497	None	xlm-roberta-large
652526	None	xlm-roberta-large
24792	None	xlm-roberta-large
571083	Individual	xlm-roberta-large
890268	Individual	xlm-roberta-large
5297	Society	xlm-roberta-large
920594	Organization	xlm-roberta-large
172944	Organization	xlm-roberta-large
624079	None	xlm-roberta-large
770329	None	xlm-roberta-large
692607	Organization	xlm-roberta-large
3052	Society	xlm-roberta-large
844455	Individual	xlm-roberta-large
814896	Individual	xlm-roberta-large
110591	Organization	xlm-roberta-large
180575	None	xlm-roberta-large
254322	None	xlm-roberta-large
574720	None	xlm-roberta-large
622377	None	xlm-roberta-large
623083	None	xlm-roberta-large
668718	Community	xlm-roberta-large
633172	None	xlm-roberta-large
6790	None	xlm-roberta-large
850984	Organization	xlm-roberta-large
500524	Organization	xlm-roberta-large
581344	None	xlm-roberta-large
654769	None	xlm-roberta-large
706547	None	xlm-roberta-large
603782	None	xlm-roberta-large
302171	None	xlm-roberta-large
744717	None	xlm-roberta-large
512972	None	xlm-roberta-large
781353	None	xlm-roberta-large
384814	None	xlm-roberta-large
15032	Society	xlm-roberta-large
251425	Organization	xlm-roberta-large
813466	None	xlm-roberta-large
675844	None	xlm-roberta-large
2583	Society	xlm-roberta-large
659227	None	xlm-roberta-large
169886	None	xlm-roberta-large
381979	Society	xlm-roberta-large
299641	None	xlm-roberta-large
704171	None	xlm-roberta-large
618279	Community	xlm-roberta-large
641060	None	xlm-roberta-large
562096	None	xlm-roberta-large
318122	Individual	xlm-roberta-large
451639	None	xlm-roberta-large
653504	None	xlm-roberta-large
144836	None	xlm-roberta-large
426811	Society	xlm-roberta-large
399359	None	xlm-roberta-large
610564	Organization	xlm-roberta-large
246780	None	xlm-roberta-large
838887	None	xlm-roberta-large
144994	None	xlm-roberta-large
854277	None	xlm-roberta-large
865313	None	xlm-roberta-large
578428	None	xlm-roberta-large
187917	None	xlm-roberta-large
348388	Organization	xlm-roberta-large
741123	None	xlm-roberta-large
634544	None	xlm-roberta-large
778366	Individual	xlm-roberta-large
441000	None	xlm-roberta-large
377994	None	xlm-roberta-large
362805	None	xlm-roberta-large
12475	None	xlm-roberta-large
460383	Community	xlm-roberta-large
870913	Individual	xlm-roberta-large
2715	None	xlm-roberta-large
921356	Community	xlm-roberta-large
196647	Organization	xlm-roberta-large
824151	None	xlm-roberta-large
382540	Organization	xlm-roberta-large
1087	None	xlm-roberta-large
380610	Society	xlm-roberta-large
416517	None	xlm-roberta-large
456028	Individual	xlm-roberta-large
431471	Individual	xlm-roberta-large
453235	Organization	xlm-roberta-large
927587	None	xlm-roberta-large
422259	None	xlm-roberta-large
896697	None	xlm-roberta-large
42562	None	xlm-roberta-large
197313	Individual	xlm-roberta-large
690302	Community	xlm-roberta-large
925174	None	xlm-roberta-large
535584	None	xlm-roberta-large
931365	None	xlm-roberta-large
227393	Individual	xlm-roberta-large
329379	None	xlm-roberta-large
56445	None	xlm-roberta-large
546158	Organization	xlm-roberta-large
258725	None	xlm-roberta-large
175825	None	xlm-roberta-large
937532	None	xlm-roberta-large
833099	None	xlm-roberta-large
321436	None	xlm-roberta-large
755018	None	xlm-roberta-large
798262	Organization	xlm-roberta-large
866278	None	xlm-roberta-large
210321	Organization	xlm-roberta-large
363164	None	xlm-roberta-large
370542	None	xlm-roberta-large
132703	None	xlm-roberta-large
601946	Society	xlm-roberta-large
897150	None	xlm-roberta-large
256376	None	xlm-roberta-large
240015	None	xlm-roberta-large
259547	Individual	xlm-roberta-large
67131	Individual	xlm-roberta-large
923885	Individual	xlm-roberta-large
226135	None	xlm-roberta-large
662300	None	xlm-roberta-large
677456	Organization	xlm-roberta-large
485008	Community	xlm-roberta-large
529942	Organization	xlm-roberta-large
914346	None	xlm-roberta-large
298173	Organization	xlm-roberta-large
446809	None	xlm-roberta-large
671424	Individual	xlm-roberta-large
793955	Society	xlm-roberta-large
157776	Organization	xlm-roberta-large
283469	None	xlm-roberta-large
206317	None	xlm-roberta-large
33066	None	xlm-roberta-large
36214	Organization	xlm-roberta-large
683112	None	xlm-roberta-large
831416	Community	xlm-roberta-large
473865	None	xlm-roberta-large
783655	Society	xlm-roberta-large
344565	None	xlm-roberta-large
240377	None	xlm-roberta-large
205517	None	xlm-roberta-large
624990	None	xlm-roberta-large
114646	Individual	xlm-roberta-large
860260	Organization	xlm-roberta-large
321233	None	xlm-roberta-large
287639	Organization	xlm-roberta-large
698525	None	xlm-roberta-large
640865	None	xlm-roberta-large
493551	None	xlm-roberta-large
329369	None	xlm-roberta-large
687000	Individual	xlm-roberta-large
938515	None	xlm-roberta-large
71327	Community	xlm-roberta-large
82872	Organization	xlm-roberta-large
564549	Individual	xlm-roberta-large
93050	None	xlm-roberta-large
684599	None	xlm-roberta-large
923214	None	xlm-roberta-large
712666	None	xlm-roberta-large
516447	None	xlm-roberta-large
789503	None	xlm-roberta-large
126197	Organization	xlm-roberta-large
83510	None	xlm-roberta-large
693378	None	xlm-roberta-large
766830	Community	xlm-roberta-large
917369	Organization	xlm-roberta-large
