id	label	model
12764	None	xlm-roberta-large
202933	None	xlm-roberta-large
165894	Abusive	xlm-roberta-large
124999	Profane	xlm-roberta-large
535301	Religious Hate	xlm-roberta-large
432948	Profane	xlm-roberta-large
34737	None	xlm-roberta-large
377091	Profane	xlm-roberta-large
840467	None	xlm-roberta-large
361701	None	xlm-roberta-large
184161	Abusive	xlm-roberta-large
531785	None	xlm-roberta-large
402930	None	xlm-roberta-large
578332	Political Hate	xlm-roberta-large
723077	Abusive	xlm-roberta-large
776755	Religious Hate	xlm-roberta-large
587800	Profane	xlm-roberta-large
869387	None	xlm-roberta-large
620490	Political Hate	xlm-roberta-large
241030	Abusive	xlm-roberta-large
764029	Religious Hate	xlm-roberta-large
174711	None	xlm-roberta-large
65995	Political Hate	xlm-roberta-large
871343	Abusive	xlm-roberta-large
715822	None	xlm-roberta-large
106487	None	xlm-roberta-large
764737	None	xlm-roberta-large
917460	Abusive	xlm-roberta-large
531356	None	xlm-roberta-large
266651	Political Hate	xlm-roberta-large
739854	None	xlm-roberta-large
266764	None	xlm-roberta-large
73332	None	xlm-roberta-large
760242	None	xlm-roberta-large
320758	None	xlm-roberta-large
609567	Abusive	xlm-roberta-large
16555	Abusive	xlm-roberta-large
404893	Abusive	xlm-roberta-large
357862	None	xlm-roberta-large
624326	None	xlm-roberta-large
364169	Profane	xlm-roberta-large
631673	None	xlm-roberta-large
105543	Profane	xlm-roberta-large
699006	None	xlm-roberta-large
701268	None	xlm-roberta-large
742298	None	xlm-roberta-large
643737	Abusive	xlm-roberta-large
689092	None	xlm-roberta-large
563553	None	xlm-roberta-large
662932	None	xlm-roberta-large
473263	Profane	xlm-roberta-large
422168	None	xlm-roberta-large
862941	None	xlm-roberta-large
342937	Profane	xlm-roberta-large
178372	Profane	xlm-roberta-large
916768	None	xlm-roberta-large
215239	Political Hate	xlm-roberta-large
763206	None	xlm-roberta-large
666182	None	xlm-roberta-large
503048	Political Hate	xlm-roberta-large
519953	Abusive	xlm-roberta-large
679666	None	xlm-roberta-large
237037	None	xlm-roberta-large
561654	None	xlm-roberta-large
335959	None	xlm-roberta-large
672138	None	xlm-roberta-large
705318	Sexism	xlm-roberta-large
251010	None	xlm-roberta-large
50757	None	xlm-roberta-large
708711	Profane	xlm-roberta-large
379033	None	xlm-roberta-large
356889	None	xlm-roberta-large
380864	Abusive	xlm-roberta-large
357388	None	xlm-roberta-large
237264	Abusive	xlm-roberta-large
785645	Abusive	xlm-roberta-large
10221	Abusive	xlm-roberta-large
51427	Abusive	xlm-roberta-large
327009	None	xlm-roberta-large
72638	None	xlm-roberta-large
454694	Abusive	xlm-roberta-large
531585	None	xlm-roberta-large
905729	None	xlm-roberta-large
826344	None	xlm-roberta-large
622615	Political Hate	xlm-roberta-large
341026	Abusive	xlm-roberta-large
756812	None	xlm-roberta-large
446998	None	xlm-roberta-large
507755	Abusive	xlm-roberta-large
252185	None	xlm-roberta-large
677872	Political Hate	xlm-roberta-large
573406	None	xlm-roberta-large
708512	None	xlm-roberta-large
35865	Political Hate	xlm-roberta-large
521314	None	xlm-roberta-large
629720	None	xlm-roberta-large
579590	None	xlm-roberta-large
420676	None	xlm-roberta-large
888468	Profane	xlm-roberta-large
507098	None	xlm-roberta-large
33791	None	xlm-roberta-large
628771	Abusive	xlm-roberta-large
197579	Political Hate	xlm-roberta-large
228413	None	xlm-roberta-large
607208	None	xlm-roberta-large
482851	Abusive	xlm-roberta-large
641065	None	xlm-roberta-large
154089	None	xlm-roberta-large
21246	None	xlm-roberta-large
99970	None	xlm-roberta-large
243706	Abusive	xlm-roberta-large
366232	None	xlm-roberta-large
799431	Abusive	xlm-roberta-large
151836	Profane	xlm-roberta-large
384383	None	xlm-roberta-large
430350	Profane	xlm-roberta-large
321512	None	xlm-roberta-large
791877	Political Hate	xlm-roberta-large
369126	Abusive	xlm-roberta-large
769210	None	xlm-roberta-large
389866	None	xlm-roberta-large
124392	None	xlm-roberta-large
111565	Abusive	xlm-roberta-large
87928	Political Hate	xlm-roberta-large
507897	Abusive	xlm-roberta-large
284276	Abusive	xlm-roberta-large
211557	Political Hate	xlm-roberta-large
407528	Abusive	xlm-roberta-large
656024	None	xlm-roberta-large
163256	Abusive	xlm-roberta-large
701482	None	xlm-roberta-large
28613	None	xlm-roberta-large
393451	None	xlm-roberta-large
130986	None	xlm-roberta-large
47847	Abusive	xlm-roberta-large
474831	Religious Hate	xlm-roberta-large
262358	Abusive	xlm-roberta-large
809182	None	xlm-roberta-large
912597	None	xlm-roberta-large
491193	None	xlm-roberta-large
605569	None	xlm-roberta-large
380424	None	xlm-roberta-large
603456	Abusive	xlm-roberta-large
107100	Political Hate	xlm-roberta-large
626831	None	xlm-roberta-large
447213	None	xlm-roberta-large
697862	None	xlm-roberta-large
91497	Political Hate	xlm-roberta-large
652526	None	xlm-roberta-large
24792	None	xlm-roberta-large
571083	Profane	xlm-roberta-large
890268	Abusive	xlm-roberta-large
5297	None	xlm-roberta-large
920594	Profane	xlm-roberta-large
172944	Political Hate	xlm-roberta-large
624079	None	xlm-roberta-large
770329	None	xlm-roberta-large
692607	Abusive	xlm-roberta-large
3052	Political Hate	xlm-roberta-large
844455	Profane	xlm-roberta-large
814896	Profane	xlm-roberta-large
110591	None	xlm-roberta-large
180575	None	xlm-roberta-large
254322	None	xlm-roberta-large
574720	None	xlm-roberta-large
622377	None	xlm-roberta-large
623083	Political Hate	xlm-roberta-large
668718	Abusive	xlm-roberta-large
633172	None	xlm-roberta-large
6790	None	xlm-roberta-large
850984	Political Hate	xlm-roberta-large
500524	Political Hate	xlm-roberta-large
581344	None	xlm-roberta-large
654769	None	xlm-roberta-large
706547	None	xlm-roberta-large
603782	None	xlm-roberta-large
302171	None	xlm-roberta-large
744717	None	xlm-roberta-large
512972	None	xlm-roberta-large
781353	None	xlm-roberta-large
384814	None	xlm-roberta-large
15032	None	xlm-roberta-large
251425	Abusive	xlm-roberta-large
813466	None	xlm-roberta-large
675844	None	xlm-roberta-large
2583	None	xlm-roberta-large
659227	Abusive	xlm-roberta-large
169886	None	xlm-roberta-large
381979	Political Hate	xlm-roberta-large
299641	None	xlm-roberta-large
704171	None	xlm-roberta-large
618279	Political Hate	xlm-roberta-large
641060	Abusive	xlm-roberta-large
562096	None	xlm-roberta-large
318122	Profane	xlm-roberta-large
451639	None	xlm-roberta-large
653504	Political Hate	xlm-roberta-large
144836	None	xlm-roberta-large
426811	Abusive	xlm-roberta-large
399359	None	xlm-roberta-large
610564	Political Hate	xlm-roberta-large
246780	None	xlm-roberta-large
838887	None	xlm-roberta-large
144994	None	xlm-roberta-large
854277	None	xlm-roberta-large
865313	None	xlm-roberta-large
578428	None	xlm-roberta-large
187917	None	xlm-roberta-large
348388	Abusive	xlm-roberta-large
741123	Religious Hate	xlm-roberta-large
634544	None	xlm-roberta-large
