id	label	model
12764	Abusive	ai4bharat/IndicBERTv2-MLM-only
202933	None	ai4bharat/IndicBERTv2-MLM-only
165894	Abusive	ai4bharat/IndicBERTv2-MLM-only
124999	Profane	ai4bharat/IndicBERTv2-MLM-only
535301	Religious Hate	ai4bharat/IndicBERTv2-MLM-only
432948	Profane	ai4bharat/IndicBERTv2-MLM-only
34737	None	ai4bharat/IndicBERTv2-MLM-only
377091	Profane	ai4bharat/IndicBERTv2-MLM-only
840467	None	ai4bharat/IndicBERTv2-MLM-only
361701	None	ai4bharat/IndicBERTv2-MLM-only
184161	Abusive	ai4bharat/IndicBERTv2-MLM-only
531785	None	ai4bharat/IndicBERTv2-MLM-only
402930	Political Hate	ai4bharat/IndicBERTv2-MLM-only
578332	Political Hate	ai4bharat/IndicBERTv2-MLM-only
723077	Abusive	ai4bharat/IndicBERTv2-MLM-only
776755	Religious Hate	ai4bharat/IndicBERTv2-MLM-only
587800	Profane	ai4bharat/IndicBERTv2-MLM-only
869387	None	ai4bharat/IndicBERTv2-MLM-only
620490	Political Hate	ai4bharat/IndicBERTv2-MLM-only
241030	Abusive	ai4bharat/IndicBERTv2-MLM-only
764029	Religious Hate	ai4bharat/IndicBERTv2-MLM-only
174711	None	ai4bharat/IndicBERTv2-MLM-only
65995	Political Hate	ai4bharat/IndicBERTv2-MLM-only
871343	None	ai4bharat/IndicBERTv2-MLM-only
715822	None	ai4bharat/IndicBERTv2-MLM-only
106487	Abusive	ai4bharat/IndicBERTv2-MLM-only
764737	None	ai4bharat/IndicBERTv2-MLM-only
917460	Abusive	ai4bharat/IndicBERTv2-MLM-only
531356	Abusive	ai4bharat/IndicBERTv2-MLM-only
266651	Political Hate	ai4bharat/IndicBERTv2-MLM-only
739854	None	ai4bharat/IndicBERTv2-MLM-only
266764	None	ai4bharat/IndicBERTv2-MLM-only
73332	None	ai4bharat/IndicBERTv2-MLM-only
760242	Abusive	ai4bharat/IndicBERTv2-MLM-only
320758	None	ai4bharat/IndicBERTv2-MLM-only
609567	Abusive	ai4bharat/IndicBERTv2-MLM-only
16555	Religious Hate	ai4bharat/IndicBERTv2-MLM-only
404893	Abusive	ai4bharat/IndicBERTv2-MLM-only
357862	None	ai4bharat/IndicBERTv2-MLM-only
624326	None	ai4bharat/IndicBERTv2-MLM-only
364169	Profane	ai4bharat/IndicBERTv2-MLM-only
631673	None	ai4bharat/IndicBERTv2-MLM-only
105543	Profane	ai4bharat/IndicBERTv2-MLM-only
699006	None	ai4bharat/IndicBERTv2-MLM-only
701268	None	ai4bharat/IndicBERTv2-MLM-only
742298	None	ai4bharat/IndicBERTv2-MLM-only
643737	Political Hate	ai4bharat/IndicBERTv2-MLM-only
689092	None	ai4bharat/IndicBERTv2-MLM-only
563553	Abusive	ai4bharat/IndicBERTv2-MLM-only
662932	None	ai4bharat/IndicBERTv2-MLM-only
473263	Profane	ai4bharat/IndicBERTv2-MLM-only
422168	None	ai4bharat/IndicBERTv2-MLM-only
862941	None	ai4bharat/IndicBERTv2-MLM-only
342937	Profane	ai4bharat/IndicBERTv2-MLM-only
178372	Profane	ai4bharat/IndicBERTv2-MLM-only
916768	None	ai4bharat/IndicBERTv2-MLM-only
215239	Abusive	ai4bharat/IndicBERTv2-MLM-only
763206	Abusive	ai4bharat/IndicBERTv2-MLM-only
666182	None	ai4bharat/IndicBERTv2-MLM-only
503048	Political Hate	ai4bharat/IndicBERTv2-MLM-only
519953	Abusive	ai4bharat/IndicBERTv2-MLM-only
679666	None	ai4bharat/IndicBERTv2-MLM-only
237037	Abusive	ai4bharat/IndicBERTv2-MLM-only
561654	Religious Hate	ai4bharat/IndicBERTv2-MLM-only
335959	None	ai4bharat/IndicBERTv2-MLM-only
672138	None	ai4bharat/IndicBERTv2-MLM-only
705318	None	ai4bharat/IndicBERTv2-MLM-only
251010	None	ai4bharat/IndicBERTv2-MLM-only
50757	Abusive	ai4bharat/IndicBERTv2-MLM-only
708711	Profane	ai4bharat/IndicBERTv2-MLM-only
379033	None	ai4bharat/IndicBERTv2-MLM-only
356889	None	ai4bharat/IndicBERTv2-MLM-only
380864	Abusive	ai4bharat/IndicBERTv2-MLM-only
357388	None	ai4bharat/IndicBERTv2-MLM-only
237264	None	ai4bharat/IndicBERTv2-MLM-only
785645	Abusive	ai4bharat/IndicBERTv2-MLM-only
10221	Abusive	ai4bharat/IndicBERTv2-MLM-only
51427	None	ai4bharat/IndicBERTv2-MLM-only
327009	None	ai4bharat/IndicBERTv2-MLM-only
72638	None	ai4bharat/IndicBERTv2-MLM-only
454694	Abusive	ai4bharat/IndicBERTv2-MLM-only
531585	None	ai4bharat/IndicBERTv2-MLM-only
