id	label	model
12764	Abusive	google/muril-base-cased
202933	None	google/muril-base-cased
165894	Abusive	google/muril-base-cased
124999	Profane	google/muril-base-cased
535301	Religious Hate	google/muril-base-cased
432948	Profane	google/muril-base-cased
34737	None	google/muril-base-cased
377091	Profane	google/muril-base-cased
840467	None	google/muril-base-cased
361701	None	google/muril-base-cased
184161	None	google/muril-base-cased
531785	Abusive	google/muril-base-cased
402930	None	google/muril-base-cased
578332	Political Hate	google/muril-base-cased
723077	Abusive	google/muril-base-cased
776755	Religious Hate	google/muril-base-cased
587800	Profane	google/muril-base-cased
869387	None	google/muril-base-cased
620490	Political Hate	google/muril-base-cased
241030	Abusive	google/muril-base-cased
764029	Religious Hate	google/muril-base-cased
174711	None	google/muril-base-cased
65995	Political Hate	google/muril-base-cased
871343	None	google/muril-base-cased
715822	None	google/muril-base-cased
106487	None	google/muril-base-cased
764737	None	google/muril-base-cased
917460	Abusive	google/muril-base-cased
531356	None	google/muril-base-cased
266651	Political Hate	google/muril-base-cased
739854	None	google/muril-base-cased
266764	None	google/muril-base-cased
73332	None	google/muril-base-cased
760242	Abusive	google/muril-base-cased
320758	None	google/muril-base-cased
609567	Abusive	google/muril-base-cased
16555	Profane	google/muril-base-cased
404893	Abusive	google/muril-base-cased
357862	None	google/muril-base-cased
624326	None	google/muril-base-cased
364169	Profane	google/muril-base-cased
631673	None	google/muril-base-cased
105543	Profane	google/muril-base-cased
699006	None	google/muril-base-cased
701268	Political Hate	google/muril-base-cased
742298	None	google/muril-base-cased
643737	None	google/muril-base-cased
689092	None	google/muril-base-cased
563553	None	google/muril-base-cased
662932	None	google/muril-base-cased
473263	Profane	google/muril-base-cased
422168	None	google/muril-base-cased
862941	None	google/muril-base-cased
342937	Profane	google/muril-base-cased
178372	Profane	google/muril-base-cased
916768	None	google/muril-base-cased
215239	Political Hate	google/muril-base-cased
763206	None	google/muril-base-cased
666182	None	google/muril-base-cased
503048	Political Hate	google/muril-base-cased
519953	Abusive	google/muril-base-cased
679666	None	google/muril-base-cased
237037	None	google/muril-base-cased
561654	None	google/muril-base-cased
335959	None	google/muril-base-cased
672138	None	google/muril-base-cased
705318	None	google/muril-base-cased
251010	None	google/muril-base-cased
50757	Abusive	google/muril-base-cased
708711	Profane	google/muril-base-cased
379033	None	google/muril-base-cased
356889	None	google/muril-base-cased
380864	None	google/muril-base-cased
357388	None	google/muril-base-cased
237264	None	google/muril-base-cased
785645	Abusive	google/muril-base-cased
10221	Religious Hate	google/muril-base-cased
51427	None	google/muril-base-cased
327009	None	google/muril-base-cased
72638	None	google/muril-base-cased
454694	Abusive	google/muril-base-cased
531585	None	google/muril-base-cased
905729	None	google/muril-base-cased
826344	None	google/muril-base-cased
622615	Political Hate	google/muril-base-cased
341026	Abusive	google/muril-base-cased
756812	None	google/muril-base-cased
446998	None	google/muril-base-cased
507755	Abusive	google/muril-base-cased
252185	None	google/muril-base-cased
677872	Political Hate	google/muril-base-cased
573406	None	google/muril-base-cased
708512	None	google/muril-base-cased
35865	Political Hate	google/muril-base-cased
521314	None	google/muril-base-cased
629720	None	google/muril-base-cased
579590	None	google/muril-base-cased
420676	None	google/muril-base-cased
888468	Profane	google/muril-base-cased
507098	None	google/muril-base-cased
33791	None	google/muril-base-cased
628771	Abusive	google/muril-base-cased
197579	Political Hate	google/muril-base-cased
228413	None	google/muril-base-cased
607208	None	google/muril-base-cased
482851	Abusive	google/muril-base-cased
641065	None	google/muril-base-cased
154089	None	google/muril-base-cased
21246	None	google/muril-base-cased
99970	None	google/muril-base-cased
243706	Political Hate	google/muril-base-cased
366232	None	google/muril-base-cased
799431	Abusive	google/muril-base-cased
151836	Profane	google/muril-base-cased
384383	None	google/muril-base-cased
430350	Abusive	google/muril-base-cased
321512	None	google/muril-base-cased
791877	Political Hate	google/muril-base-cased
369126	Religious Hate	google/muril-base-cased
769210	None	google/muril-base-cased
389866	None	google/muril-base-cased
124392	Abusive	google/muril-base-cased
111565	Abusive	google/muril-base-cased
87928	Political Hate	google/muril-base-cased
507897	Abusive	google/muril-base-cased
284276	Abusive	google/muril-base-cased
211557	None	google/muril-base-cased
407528	Abusive	google/muril-base-cased
656024	None	google/muril-base-cased
163256	Abusive	google/muril-base-cased
701482	None	google/muril-base-cased
28613	None	google/muril-base-cased
393451	None	google/muril-base-cased
130986	None	google/muril-base-cased
47847	None	google/muril-base-cased
474831	None	google/muril-base-cased
262358	Abusive	google/muril-base-cased
809182	None	google/muril-base-cased
912597	None	google/muril-base-cased
491193	None	google/muril-base-cased
605569	None	google/muril-base-cased
380424	None	google/muril-base-cased
603456	Abusive	google/muril-base-cased
107100	Political Hate	google/muril-base-cased
626831	None	google/muril-base-cased
447213	None	google/muril-base-cased
697862	None	google/muril-base-cased
91497	Political Hate	google/muril-base-cased
652526	None	google/muril-base-cased
24792	None	google/muril-base-cased
571083	Abusive	google/muril-base-cased
890268	Abusive	google/muril-base-cased
5297	None	google/muril-base-cased
920594	Profane	google/muril-base-cased
172944	Political Hate	google/muril-base-cased
624079	None	google/muril-base-cased
770329	None	google/muril-base-cased
692607	Abusive	google/muril-base-cased
3052	Political Hate	google/muril-base-cased
844455	Profane	google/muril-base-cased
814896	Profane	google/muril-base-cased
110591	None	google/muril-base-cased
180575	None	google/muril-base-cased
254322	None	google/muril-base-cased
574720	None	google/muril-base-cased
622377	None	google/muril-base-cased
623083	Political Hate	google/muril-base-cased
668718	Abusive	google/muril-base-cased
633172	None	google/muril-base-cased
6790	None	google/muril-base-cased
850984	Political Hate	google/muril-base-cased
500524	Political Hate	google/muril-base-cased
581344	None	google/muril-base-cased
654769	None	google/muril-base-cased
706547	None	google/muril-base-cased
603782	None	google/muril-base-cased
302171	None	google/muril-base-cased
744717	None	google/muril-base-cased
512972	None	google/muril-base-cased
781353	None	google/muril-base-cased
384814	None	google/muril-base-cased
15032	None	google/muril-base-cased
251425	Abusive	google/muril-base-cased
813466	None	google/muril-base-cased
675844	None	google/muril-base-cased
2583	Religious Hate	google/muril-base-cased
659227	None	google/muril-base-cased
169886	None	google/muril-base-cased
381979	Political Hate	google/muril-base-cased
299641	Abusive	google/muril-base-cased
704171	None	google/muril-base-cased
618279	Abusive	google/muril-base-cased
641060	Abusive	google/muril-base-cased
562096	None	google/muril-base-cased
318122	Profane	google/muril-base-cased
451639	None	google/muril-base-cased
653504	None	google/muril-base-cased
144836	Abusive	google/muril-base-cased
426811	Abusive	google/muril-base-cased
399359	None	google/muril-base-cased
610564	Political Hate	google/muril-base-cased
246780	None	google/muril-base-cased
838887	None	google/muril-base-cased
144994	None	google/muril-base-cased
854277	None	google/muril-base-cased
865313	None	google/muril-base-cased
578428	None	google/muril-base-cased
187917	None	google/muril-base-cased
348388	Political Hate	google/muril-base-cased
741123	None	google/muril-base-cased
634544	None	google/muril-base-cased
778366	Abusive	google/muril-base-cased
441000	None	google/muril-base-cased
377994	None	google/muril-base-cased
362805	None	google/muril-base-cased
12475	None	google/muril-base-cased
460383	Abusive	google/muril-base-cased
870913	Abusive	google/muril-base-cased
2715	None	google/muril-base-cased
921356	None	google/muril-base-cased
196647	Political Hate	google/muril-base-cased
824151	None	google/muril-base-cased
382540	Profane	google/muril-base-cased
1087	None	google/muril-base-cased
380610	Abusive	google/muril-base-cased
416517	None	google/muril-base-cased
456028	Profane	google/muril-base-cased
431471	None	google/muril-base-cased
453235	Political Hate	google/muril-base-cased
927587	None	google/muril-base-cased
422259	None	google/muril-base-cased
896697	None	google/muril-base-cased
42562	None	google/muril-base-cased
197313	Political Hate	google/muril-base-cased
690302	Abusive	google/muril-base-cased
925174	None	google/muril-base-cased
535584	Abusive	google/muril-base-cased
931365	None	google/muril-base-cased
227393	Abusive	google/muril-base-cased
329379	None	google/muril-base-cased
56445	None	google/muril-base-cased
546158	Political Hate	google/muril-base-cased
258725	None	google/muril-base-cased
175825	None	google/muril-base-cased
937532	None	google/muril-base-cased
833099	None	google/muril-base-cased
321436	Abusive	google/muril-base-cased
755018	None	google/muril-base-cased
798262	Political Hate	google/muril-base-cased
866278	None	google/muril-base-cased
210321	Political Hate	google/muril-base-cased
363164	None	google/muril-base-cased
370542	None	google/muril-base-cased
132703	None	google/muril-base-cased
601946	Abusive	google/muril-base-cased
897150	None	google/muril-base-cased
256376	None	google/muril-base-cased
240015	None	google/muril-base-cased
259547	Abusive	google/muril-base-cased
67131	None	google/muril-base-cased
923885	Abusive	google/muril-base-cased
226135	None	google/muril-base-cased
662300	None	google/muril-base-cased
677456	Political Hate	google/muril-base-cased
485008	Abusive	google/muril-base-cased
529942	Profane	google/muril-base-cased
914346	None	google/muril-base-cased
298173	Political Hate	google/muril-base-cased
446809	None	google/muril-base-cased
671424	None	google/muril-base-cased
793955	Political Hate	google/muril-base-cased
157776	Abusive	google/muril-base-cased
283469	None	google/muril-base-cased
206317	None	google/muril-base-cased
33066	None	google/muril-base-cased
36214	Political Hate	google/muril-base-cased
683112	None	google/muril-base-cased
831416	Abusive	google/muril-base-cased
473865	None	google/muril-base-cased
783655	None	google/muril-base-cased
344565	None	google/muril-base-cased
240377	None	google/muril-base-cased
205517	None	google/muril-base-cased
624990	None	google/muril-base-cased
114646	Profane	google/muril-base-cased
860260	Political Hate	google/muril-base-cased
321233	None	google/muril-base-cased
287639	Political Hate	google/muril-base-cased
698525	None	google/muril-base-cased
640865	None	google/muril-base-cased
493551	None	google/muril-base-cased
329369	None	google/muril-base-cased
687000	Profane	google/muril-base-cased
938515	None	google/muril-base-cased
71327	Abusive	google/muril-base-cased
82872	Abusive	google/muril-base-cased
564549	None	google/muril-base-cased
93050	None	google/muril-base-cased
684599	None	google/muril-base-cased
923214	None	google/muril-base-cased
712666	None	google/muril-base-cased
516447	None	google/muril-base-cased
789503	None	google/muril-base-cased
126197	Profane	google/muril-base-cased
83510	None	google/muril-base-cased
693378	None	google/muril-base-cased
766830	Abusive	google/muril-base-cased
917369	Abusive	google/muril-base-cased
140689	Profane	google/muril-base-cased
828319	None	google/muril-base-cased
441784	None	google/muril-base-cased
584069	None	google/muril-base-cased
595722	None	google/muril-base-cased
587975	Political Hate	google/muril-base-cased
737847	Abusive	google/muril-base-cased
355260	None	google/muril-base-cased
208807	None	google/muril-base-cased
698527	None	google/muril-base-cased
342704	None	google/muril-base-cased
281083	None	google/muril-base-cased
594110	Political Hate	google/muril-base-cased
208175	Political Hate	google/muril-base-cased
536181	None	google/muril-base-cased
562508	Abusive	google/muril-base-cased
844368	Political Hate	google/muril-base-cased
